title,star,review,date,help,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
worth,5.0 out of 5 stars,must buy product for oily skin,Reviewed in India on 25 August 2022,,,
Nothing great.,3.0 out of 5 stars,"Had high hopes from this one but it’s pretty average, does not lather much and it made me break out in the beginning so I won’t recommend this. Also the smell is a bit off.",Reviewed in India on 15 March 2021,2 people found this helpful,,
Dry skin is quenched with moisture,5.0 out of 5 stars,"Just 2drops of the face wash brings out lather, the organic scent feels amazing & skin feels really clean & soft. I would recommend this for people with dry skin as the skin feels nourished and moisturised after the wash",Reviewed in India on 25 May 2021,2 people found this helpful,,
"Undoubtedly, a must buy for sensitive skin.",5.0 out of 5 stars,Gentle face wash with mild fragrance. Apt for my sensitive & blemish prone skin. True to its promise.,Reviewed in India on 26 December 2020,2 people found this helpful,,
Tooooo strong scent,2.0 out of 5 stars,"Good one. Except for the vv strong perfumel! A total No No.If u claim it's organic, how can u add such a strong scent?A big NO if u are going for fully natural products. I don't think any natural scent could be so strong as u claim.",Reviewed in India on 20 February 2020,8 people found this helpful,,
Good,5.0 out of 5 stars,Yes,Reviewed in India on 27 June 2021,,,
Not up to the mark,1.0 out of 5 stars,The product didn’t work out for me. I got more acne using it. And in just a month after the product started settling (the face wash gel turned jelly like substance). Not worth. Not all organic products work for everyone.,Reviewed in India on 24 September 2021,,,
Good facewash,5.0 out of 5 stars,Good facewash. Less foam. Not harsh on skin.,Reviewed in India on 5 September 2020,,,
Worst product,1.0 out of 5 stars,Just irritating fragranceDry out the skinVery high priceNo preservativePlease don't waste your money,Reviewed in India on 3 December 2020,One person found this helpful,,
Too dry,1.0 out of 5 stars,"This face wash or cleanser is too harsh it totally drys out the skin makes it look like plastic sheet, then you apply the toner and then the serum and moisturizer,, then at the last stage your face becomes so oily,,, its like aghhh.. after using there product my face was full of pimples, i called them up and they said your skin is having a purging effect, but after use of 6 weeks my face skin had pock marks, i had to visit a dermat and the whole experience with JC was horrible.They dont have samples to do patch test.JC burnt a hole in my pocket and didnt do any good either",Reviewed in India on 8 November 2021,,,
worth,5.0 out of 5 stars,must buy product for oily skin,Reviewed in India on 25 August 2022,,,
Nothing great.,3.0 out of 5 stars,"Had high hopes from this one but it’s pretty average, does not lather much and it made me break out in the beginning so I won’t recommend this. Also the smell is a bit off.",Reviewed in India on 15 March 2021,2 people found this helpful,,
Dry skin is quenched with moisture,5.0 out of 5 stars,"Just 2drops of the face wash brings out lather, the organic scent feels amazing & skin feels really clean & soft. I would recommend this for people with dry skin as the skin feels nourished and moisturised after the wash",Reviewed in India on 25 May 2021,2 people found this helpful,,
"Undoubtedly, a must buy for sensitive skin.",5.0 out of 5 stars,Gentle face wash with mild fragrance. Apt for my sensitive & blemish prone skin. True to its promise.,Reviewed in India on 26 December 2020,2 people found this helpful,,
Tooooo strong scent,2.0 out of 5 stars,"Good one. Except for the vv strong perfumel! A total No No.If u claim it's organic, how can u add such a strong scent?A big NO if u are going for fully natural products. I don't think any natural scent could be so strong as u claim.",Reviewed in India on 20 February 2020,8 people found this helpful,,
Good,5.0 out of 5 stars,Yes,Reviewed in India on 27 June 2021,,,
Not up to the mark,1.0 out of 5 stars,The product didn’t work out for me. I got more acne using it. And in just a month after the product started settling (the face wash gel turned jelly like substance). Not worth. Not all organic products work for everyone.,Reviewed in India on 24 September 2021,,,
